Label,NodeID,Recente,Ancienne,periode
1,s1_f1,nan,0.5,1
0,s1_f2,nan,0.5,1
1,s1_h1,nan,0.5,1
1,s1_h2,nan,0.5,1
1,s2_f1,nan,0.5,1
1,s2_f2,nan,0.5,1
1,s2_h1,nan,0.5,1
1,s2_h2,nan,0.5,1
1,s3_f1,nan,0.5,1
1,s3_f2,nan,0.5,1
1,s3_h1,nan,0.5,1
1,s3_h2,nan,0.5,1
1,s4_f1,nan,0.5,1
1,s4_f2,nan,0.5,1
1,s4_h1,nan,0.5,1
1,s4_h2,nan,0.5,1
1,s1_f3,nan,0.5,1
1,s1_h3,nan,0.5,1
1,s1_h4,nan,0.5,1
1,s2_f3,nan,0.5,1
1,s2_h3,nan,0.5,1
1,s2_h4,nan,0.5,1
1,s3_f3,nan,0.5,1
0,s3_h3,nan,0.5,1
1,s3_h4,nan,0.5,1
1,s4_f3,nan,0.5,1
1,s4_h3,nan,0.5,1
1,s4_h4,nan,0.5,1
1,s1_f4,nan,0.5,1
1,s1_h5,nan,0.5,1
1,s2_f4,nan,0.5,1
1,s2_h5,nan,0.5,1
1,s3_f4,nan,0.5,1
1,s3_h5,nan,0.5,1
1,s4_f4,nan,0.5,1
1,s4_h5,nan,0.5,1
1,s1_f5,nan,0.5,1
1,s2_f5,nan,0.5,1
1,s3_f5,nan,0.5,1
1,s4_f5,nan,0.5,1
1,s1_f1,0.999082,0.5,2
1,s1_f2,0.261524,0.5,2
1,s1_h1,0.999082,0.5,2
1,s1_h2,0.999082,0.5,2
1,s2_f1,0.999082,0.5,2
1,s2_f2,0.999082,0.5,2
1,s2_h1,0.992659,0.5,2
1,s2_h2,0.998165,0.5,2
1,s3_f1,0.993577,0.5,2
1,s3_f2,0.998165,0.5,2
1,s3_h1,0.998165,0.5,2
1,s3_h2,0.992659,0.5,2
1,s4_f1,0.998165,0.5,2
1,s4_f2,0.999082,0.5,2
1,s4_h1,0.999082,0.5,2
1,s4_h2,0.999082,0.5,2
1,s1_f3,0.998624,0.5,2
0.4,s1_h3,0.994494,0.5,2
1,s1_h4,0.996559,0.5,2
1,s2_f3,0.998624,0.5,2
1,s2_h3,0.997247,0.5,2
1,s2_h4,0.997935,0.5,2
1,s3_f3,0.998624,0.5,2
1,s3_h3,0.261524,0.5,2
1,s3_h4,0.997935,0.5,2
1,s4_f3,0.998624,0.5,2
1,s4_h3,0.997247,0.5,2
1,s4_h4,0.999312,0.5,2
0.6,s1_f4,0.995871,0.5,2
1,s1_h5,0.998624,0.5,2
