Label,NodeID,knowledge,experiance,periode,label_experience,Label_final
1.0,s1_f1,0.996398,0.5,1,0.5,0.875
0.6,s1_f2,0.693021,0.5,1,0.5,0.575
0.2,s1_h1,0.261524,0.5,1,0.5,0.275
1.0,s1_h2,0.998165,0.5,1,0.5,0.875
1.0,s2_f1,0.995343,0.5,1,0.5,0.875
1.0,s2_f2,0.999082,0.5,1,0.5,0.875
1.0,s2_h1,0.995412,0.5,1,0.5,0.875
0.2,s2_h2,0.261524,0.5,1,0.5,0.275
0.6,s3_f1,0.69676,0.5,1,0.5,0.575
1.0,s3_f2,0.999082,0.5,1,0.5,0.875
1.0,s3_h1,0.999082,0.5,1,0.5,0.875
1.0,s3_h2,0.999082,0.5,1,0.5,0.875
1.0,s4_f1,0.995343,0.5,1,0.5,0.875
1.0,s4_f2,0.998165,0.5,1,0.5,0.875
1.0,s4_h1,0.99633,0.5,1,0.5,0.875
1.0,s4_h2,0.999082,0.5,1,0.5,0.875
0.0,s1_f3,0.261524,0.5,1,0.5,0.125
0.2,s1_h3,0.479725,0.5,1,0.5,0.275
1.0,s1_h4,0.998165,0.5,1,0.5,0.875
1.0,s2_f3,0.995412,0.5,1,0.5,0.875
1.0,s2_h3,0.995664,0.5,1,0.5,0.875
1.0,s2_h4,0.99633,0.5,1,0.5,0.875
1.0,s3_f3,0.99633,0.5,1,0.5,0.875
1.0,s3_h3,0.998417,0.5,1,0.5,0.875
0.2,s3_h4,0.261524,0.5,1,0.5,0.275
1.0,s4_f3,0.999082,0.5,1,0.5,0.875
1.0,s4_h3,0.99883,0.5,1,0.5,0.875
1.0,s4_h4,0.998165,0.5,1,0.5,0.875
0.0,s1_f4,0.0,0.5,1,0.5,0.125
1.0,s1_h5,0.999082,0.5,1,0.5,0.875
1.0,s2_f4,0.997247,0.5,1,0.5,0.875
1.0,s2_h5,0.999082,0.5,1,0.5,0.875
1.0,s3_f4,1.0,0.5,1,0.5,0.875
1.0,s3_h5,0.998165,0.5,1,0.5,0.875
1.0,s4_f4,1.0,0.5,1,0.5,0.875
1.0,s4_h5,0.993577,0.5,1,0.5,0.875
1.0,s1_f5,0.998624,0.5,1,0.5,0.875
1.0,s2_f5,0.995871,0.5,1,0.5,0.875
1.0,s3_f5,0.998624,0.5,1,0.5,0.875
1.0,s4_f5,0.995871,0.5,1,0.5,0.875
1.0,s1_f1,0.994494,0.708108,2,0.7,0.925
1.0,s1_f2,0.996559,0.580921,2,0.54,0.885
1.0,s1_h1,0.99633,0.400022,2,0.38,0.845
1.0,s1_h2,1.0,0.708849,2,0.7,0.925
1.0,s2_f1,0.997247,0.707666,2,0.7,0.925
1.0,s2_f2,0.997935,0.709233,2,0.7,0.925
1.0,s2_h1,0.995412,0.707694,2,0.7,0.925
1.0,s2_h2,1.0,0.400022,2,0.38,0.845
