Label,NodeID,network_behaviour,data_collection_behaviour,Reward_punishment,periode
0,s1_f1,0,0,0,1
0.4,s1_f2,0.6,0.441333,0.303265,1
1,s1_h1,1,0.9645,1,1
1,s1_h2,1,0.994889,1,1
1,s2_f1,1,0.98,1,1
1,s2_f2,1,0.973333,1,1
1,s2_h1,1,0.9755,1,1
1,s2_h2,1,0.994889,1,1
1,s3_f1,1,0.98,1,1
1,s3_f2,1,0.993333,1,1
0.2,s3_h1,0.2,0.9535,0.402192,1
1,s3_h2,1,0.934889,1,1
1,s4_f1,1,1,1,1
1,s4_f2,1,0.966667,1,1
1,s4_h1,1,0.9645,1,1
0.6,s4_h2,0.6,0.989778,0.654985,1
0.2,s1_f3,1,0,0.303265,1
1,s1_h3,1,0.973333,1,1
0,s1_h4,0,0,0,1
1,s2_f3,1,0.986667,1,1
1,s2_h3,1,0.986667,1,1
1,s2_h4,1,1,1,1
1,s3_f3,1,0.993333,1,1
1,s3_h3,1,0.986667,1,1
1,s3_h4,1,0.94,1,1
1,s4_f3,1,0.993333,1,1
0.4,s4_h3,0.6,0.454667,0.303265,1
1,s4_h4,1,1,1,1
0.6,s1_f4,0.6,0.989778,0.654985,1
1,s1_h5,1,0.993333,1,1
1,s2_f4,1,0.934889,1,1
1,s2_h5,1,0.986667,1,1
1,s3_f4,1,0.994889,1,1
1,s3_h5,1,0.993333,1,1
1,s4_f4,1,0.994889,1,1
0.2,s4_h5,0.2,0.924667,0.402192,1
0.6,s1_f5,0.6,0.9835,0.654985,1
1,s2_f5,1,0.978833,1,1
1,s3_f5,1,0.981167,1,1
1,s4_f5,1,0.981167,1,1
1,s1_f1,1,0.97,1,2
0.6,s1_f2,0.6,0.99,0.654985,2
1,s1_h1,1,0.973333,1,2
1,s1_h2,1,0.993333,1,2
1,s2_f1,1,0.97,1,2
1,s2_f2,1,0.97,1,2
1,s2_h1,1,0.966667,1,2
1,s2_h2,1,0.993333,1,2
1,s3_f1,1,0.99,1,2
1,s3_f2,1,0.99,1,2
1,s3_h1,1,0.993333,1,2
1,s3_h2,1,0.946667,1,2
1,s4_f1,1,0.99,1,2
1,s4_f2,1,0.97,1,2
0.4,s4_h1,0.8,0.214167,0.303265,2
1,s4_h2,1,0.986667,1,2
1,s1_f3,1,0.953333,1,2
1,s1_h3,1,0.975,1,2
1,s1_h4,1,0.985,1,2
1,s2_f3,1,0.986667,1,2
1,s2_h3,1,0.985,1,2
1,s2_h4,1,0.975,1,2
1,s3_f3,1,0.993333,1,2
