Label,NodeID,Recente,Ancienne,periode,label_experience
0.2,s1_f1,0.292952,0.5,2,0.46
0.0,s1_f2,0.261524,0.5,2,0.38
0.0,s1_h1,0.997247,0.5,2,0.7
0.0,s1_h2,0.70186,0.5,2,0.54
1.0,s2_f1,0.99633,0.5,2,0.7
1.0,s2_f2,0.99633,0.5,2,0.7
1.0,s2_h1,0.994494,0.5,2,0.7
1.0,s2_h2,0.999694,0.5,2,0.7
1.0,s3_f1,0.999082,0.5,2,0.7
1.0,s3_f2,0.995412,0.5,2,0.7
1.0,s3_h1,0.261524,0.5,2,0.3
1.0,s3_h2,0.996941,0.5,2,0.7
1.0,s4_f1,0.995412,0.5,2,0.7
1.0,s4_f2,0.999082,0.5,2,0.7
1.0,s4_h1,0.997247,0.5,2,0.7
1.0,s4_h2,0.999694,0.5,2,0.7
1.0,s1_f3,0.999312,0.5,2,0.7
1.0,s1_h3,1.0,0.5,2,0.7
1.0,s1_h4,0.261524,0.5,2,0.38
1.0,s2_f3,0.996559,0.5,2,0.7
1.0,s2_h3,1.0,0.5,2,0.7
1.0,s2_h4,0.995412,0.5,2,0.7
1.0,s3_f3,0.997935,0.5,2,0.7
0.0,s3_h3,1.0,0.5,2,0.7
1.0,s3_h4,0.99633,0.5,2,0.7
1.0,s4_f3,0.997935,0.5,2,0.7
1.0,s4_h3,0.326673,0.5,2,0.46
1.0,s4_h4,0.999082,0.5,2,0.7
0.2,s1_f4,0.998165,0.5,2,0.7
0.4,s1_h5,0.495554,0.5,2,0.54
1.0,s2_f4,0.998165,0.5,2,0.7
1.0,s2_h5,0.998165,0.5,2,0.7
1.0,s3_f4,0.261524,0.5,2,0.38
1.0,s3_h5,0.99633,0.5,2,0.7
1.0,s4_f4,0.99633,0.5,2,0.7
1.0,s4_h5,0.998165,0.5,2,0.7
1.0,s1_f5,0.482065,0.5,2,0.38
1.0,s2_f5,0.99828,0.5,2,0.7
1.0,s3_f5,0.998968,0.5,2,0.7
1.0,s4_f5,0.99828,0.5,2,0.7
1.0,s1_f1,0.261524,0.413198,3,0.35600000000000004
0.0,s1_f2,0.0774968,0.400022,3,0.22799999999999998
1.0,s1_h1,0.0,0.708464,3,0.42
1.0,s1_h2,0.261524,0.584627,3,0.324
1.0,s2_f1,0.99633,0.708079,3,0.8200000000000001
1.0,s2_f2,0.99633,0.708079,3,0.8200000000000001
0.0,s2_h1,0.995412,0.70731,3,0.8200000000000001
1.0,s2_h2,0.999082,0.70949,3,0.8200000000000001
0.0,s3_f1,0.999082,0.709233,3,0.8200000000000001
1.0,s3_f2,0.995412,0.707694,3,0.8200000000000001
1.0,s3_h1,0.999082,0.400022,3,0.5800000000000001
1.0,s3_h2,0.998165,0.708336,3,0.8200000000000001
1.0,s4_f1,0.995412,0.707694,3,0.8200000000000001
1.0,s4_f2,0.999082,0.709233,3,0.8200000000000001
1.0,s4_h1,0.99633,0.708464,3,0.8200000000000001
0.4,s4_h2,0.999082,0.70949,3,0.8200000000000001
1.0,s1_f3,0.999312,0.709329,3,0.8200000000000001
0.0,s1_h3,0.999082,0.709618,3,0.8200000000000001
1.0,s1_h4,0.999082,0.400022,3,0.628
1.0,s2_f3,0.996559,0.708175,3,0.8200000000000001
1.0,s2_h3,0.999082,0.709618,3,0.8200000000000001
1.0,s2_h4,0.993577,0.707694,3,0.8200000000000001
0.2,s3_f3,0.997935,0.708752,3,0.8200000000000001
1.0,s3_h3,0.261524,0.709618,3,0.42
1.0,s3_h4,0.998165,0.708079,3,0.8200000000000001
1.0,s4_f3,0.997935,0.708752,3,0.8200000000000001
1.0,s4_h3,0.998165,0.427335,3,0.676
1.0,s4_h4,0.999082,0.709233,3,0.8200000000000001
1.0,s1_f4,0.483923,0.708849,3,0.5
1.0,s1_h5,0.297632,0.498136,3,0.48400000000000004
1.0,s2_f4,0.998348,0.708849,3,0.8200000000000001
1.0,s2_h5,0.998165,0.708849,3,0.8200000000000001
0.0,s3_f4,0.998899,0.400022,3,0.628
0.2,s3_h5,0.99633,0.708079,3,0.8200000000000001
1.0,s4_f4,0.992843,0.708079,3,0.8200000000000001
1.0,s4_h5,0.998165,0.708849,3,0.8200000000000001
1.0,s1_f5,0.996559,0.492481,3,0.628
1.0,s2_f5,0.997935,0.708897,3,0.8200000000000001
1.0,s3_f5,0.999312,0.709185,3,0.8200000000000001
1.0,s4_f5,0.997935,0.708897,3,0.8200000000000001
1.0,s1_f1,0.997247,0.349611,4,0.6136
0.2,s1_f2,0.0,0.264808,4,0.13679999999999998
0.6,s1_h1,0.999082,0.41145,4,0.652
0.6,s1_h2,0.999082,0.449171,4,0.5944
1.0,s2_f1,0.994494,0.828924,4,0.892
